itemid,valuenum,frequency_rank,token,label,fluid,category,loinc_code
51221,0.1,1,1,Hematocrit,Blood,Hematology,4544-3
51221,0.2,1,2,Hematocrit,Blood,Hematology,4544-3
51221,0.3,1,3,Hematocrit,Blood,Hematology,4544-3
51221,0.4,1,4,Hematocrit,Blood,Hematology,4544-3
51221,0.5,1,5,Hematocrit,Blood,Hematology,4544-3
51221,0.6,1,6,Hematocrit,Blood,Hematology,4544-3
51221,0.7,1,7,Hematocrit,Blood,Hematology,4544-3
51221,0.8,1,8,Hematocrit,Blood,Hematology,4544-3
51221,0.9,1,9,Hematocrit,Blood,Hematology,4544-3
51221,1.0,1,10,Hematocrit,Blood,Hematology,4544-3
51221,,1,11,Hematocrit,Blood,Hematology,4544-3
50912,0.1,2,12,Creatinine,Blood,Chemistry,2160-0
50912,0.2,2,13,Creatinine,Blood,Chemistry,2160-0
50912,0.3,2,14,Creatinine,Blood,Chemistry,2160-0
50912,0.4,2,15,Creatinine,Blood,Chemistry,2160-0
50912,0.5,2,16,Creatinine,Blood,Chemistry,2160-0
50912,0.6,2,17,Creatinine,Blood,Chemistry,2160-0
50912,0.7,2,18,Creatinine,Blood,Chemistry,2160-0
50912,0.8,2,19,Creatinine,Blood,Chemistry,2160-0
50912,0.9,2,20,Creatinine,Blood,Chemistry,2160-0
50912,1.0,2,21,Creatinine,Blood,Chemistry,2160-0
50912,,2,22,Creatinine,Blood,Chemistry,2160-0
51265,0.1,3,23,Platelet Count,Blood,Hematology,777-3
51265,0.2,3,24,Platelet Count,Blood,Hematology,777-3
51265,0.3,3,25,Platelet Count,Blood,Hematology,777-3
51265,0.4,3,26,Platelet Count,Blood,Hematology,777-3
51265,0.5,3,27,Platelet Count,Blood,Hematology,777-3
51265,0.6,3,28,Platelet Count,Blood,Hematology,777-3
51265,0.7,3,29,Platelet Count,Blood,Hematology,777-3
51265,0.8,3,30,Platelet Count,Blood,Hematology,777-3
51265,0.9,3,31,Platelet Count,Blood,Hematology,777-3
51265,1.0,3,32,Platelet Count,Blood,Hematology,777-3
51265,,3,33,Platelet Count,Blood,Hematology,777-3
51222,0.1,4,34,Hemoglobin,Blood,Hematology,718-7
51222,0.2,4,35,Hemoglobin,Blood,Hematology,718-7
51222,0.3,4,36,Hemoglobin,Blood,Hematology,718-7
51222,0.4,4,37,Hemoglobin,Blood,Hematology,718-7
51222,0.5,4,38,Hemoglobin,Blood,Hematology,718-7
51222,0.6,4,39,Hemoglobin,Blood,Hematology,718-7
51222,0.7,4,40,Hemoglobin,Blood,Hematology,718-7
51222,0.8,4,41,Hemoglobin,Blood,Hematology,718-7
51222,0.9,4,42,Hemoglobin,Blood,Hematology,718-7
51222,1.0,4,43,Hemoglobin,Blood,Hematology,718-7
51222,,4,44,Hemoglobin,Blood,Hematology,718-7
51301,0.1,5,45,White Blood Cells,Blood,Hematology,804-5
51301,0.2,5,46,White Blood Cells,Blood,Hematology,804-5
51301,0.3,5,47,White Blood Cells,Blood,Hematology,804-5
51301,0.4,5,48,White Blood Cells,Blood,Hematology,804-5
51301,0.5,5,49,White Blood Cells,Blood,Hematology,804-5
51301,0.6,5,50,White Blood Cells,Blood,Hematology,804-5
51301,0.7,5,51,White Blood Cells,Blood,Hematology,804-5
51301,0.8,5,52,White Blood Cells,Blood,Hematology,804-5
51301,0.9,5,53,White Blood Cells,Blood,Hematology,804-5
51301,1.0,5,54,White Blood Cells,Blood,Hematology,804-5
51301,,5,55,White Blood Cells,Blood,Hematology,804-5
51006,0.1,6,56,Urea Nitrogen,Blood,Chemistry,3094-0
51006,0.2,6,57,Urea Nitrogen,Blood,Chemistry,3094-0
51006,0.3,6,58,Urea Nitrogen,Blood,Chemistry,3094-0
51006,0.4,6,59,Urea Nitrogen,Blood,Chemistry,3094-0
51006,0.5,6,60,Urea Nitrogen,Blood,Chemistry,3094-0
51006,0.6,6,61,Urea Nitrogen,Blood,Chemistry,3094-0
51006,0.7,6,62,Urea Nitrogen,Blood,Chemistry,3094-0
51006,0.8,6,63,Urea Nitrogen,Blood,Chemistry,3094-0
51006,0.9,6,64,Urea Nitrogen,Blood,Chemistry,3094-0
51006,1.0,6,65,Urea Nitrogen,Blood,Chemistry,3094-0
51006,,6,66,Urea Nitrogen,Blood,Chemistry,3094-0
51249,0.1,7,67,MCHC,Blood,Hematology,786-4
51249,0.2,7,68,MCHC,Blood,Hematology,786-4
51249,0.3,7,69,MCHC,Blood,Hematology,786-4
51249,0.4,7,70,MCHC,Blood,Hematology,786-4
51249,0.5,7,71,MCHC,Blood,Hematology,786-4
51249,0.6,7,72,MCHC,Blood,Hematology,786-4
51249,0.7,7,73,MCHC,Blood,Hematology,786-4
51249,0.8,7,74,MCHC,Blood,Hematology,786-4
51249,0.9,7,75,MCHC,Blood,Hematology,786-4
51249,1.0,7,76,MCHC,Blood,Hematology,786-4
51249,,7,77,MCHC,Blood,Hematology,786-4
51279,0.1,8,78,Red Blood Cells,Blood,Hematology,789-8
51279,0.2,8,79,Red Blood Cells,Blood,Hematology,789-8
51279,0.3,8,80,Red Blood Cells,Blood,Hematology,789-8
51279,0.4,8,81,Red Blood Cells,Blood,Hematology,789-8
51279,0.5,8,82,Red Blood Cells,Blood,Hematology,789-8
51279,0.6,8,83,Red Blood Cells,Blood,Hematology,789-8
51279,0.7,8,84,Red Blood Cells,Blood,Hematology,789-8
51279,0.8,8,85,Red Blood Cells,Blood,Hematology,789-8
51279,0.9,8,86,Red Blood Cells,Blood,Hematology,789-8
51279,1.0,8,87,Red Blood Cells,Blood,Hematology,789-8
51279,,8,88,Red Blood Cells,Blood,Hematology,789-8
51250,0.1,9,89,MCV,Blood,Hematology,787-2
51250,0.2,9,90,MCV,Blood,Hematology,787-2
51250,0.3,9,91,MCV,Blood,Hematology,787-2
51250,0.4,9,92,MCV,Blood,Hematology,787-2
51250,0.5,9,93,MCV,Blood,Hematology,787-2
51250,0.6,9,94,MCV,Blood,Hematology,787-2
51250,0.7,9,95,MCV,Blood,Hematology,787-2
51250,0.8,9,96,MCV,Blood,Hematology,787-2
51250,0.9,9,97,MCV,Blood,Hematology,787-2
51250,1.0,9,98,MCV,Blood,Hematology,787-2
51250,,9,99,MCV,Blood,Hematology,787-2
51248,0.1,10,100,MCH,Blood,Hematology,785-6
51248,0.2,10,101,MCH,Blood,Hematology,785-6
51248,0.3,10,102,MCH,Blood,Hematology,785-6
51248,0.4,10,103,MCH,Blood,Hematology,785-6
51248,0.5,10,104,MCH,Blood,Hematology,785-6
51248,0.6,10,105,MCH,Blood,Hematology,785-6
51248,0.7,10,106,MCH,Blood,Hematology,785-6
51248,0.8,10,107,MCH,Blood,Hematology,785-6
51248,0.9,10,108,MCH,Blood,Hematology,785-6
51248,1.0,10,109,MCH,Blood,Hematology,785-6
51248,,10,110,MCH,Blood,Hematology,785-6
