itemid,frequency_rank,label,fluid,category,loinc_code
51221,1,Hematocrit,Blood,Hematology,4544-3
50912,2,Creatinine,Blood,Chemistry,2160-0
51265,3,Platelet Count,Blood,Hematology,777-3
51222,4,Hemoglobin,Blood,Hematology,718-7
51301,5,White Blood Cells,Blood,Hematology,804-5
51006,6,Urea Nitrogen,Blood,Chemistry,3094-0
51249,7,MCHC,Blood,Hematology,786-4
51279,8,Red Blood Cells,Blood,Hematology,789-8
51250,9,MCV,Blood,Hematology,787-2
51248,10,MCH,Blood,Hematology,785-6
51277,11,RDW,Blood,Hematology,788-0
50971,12,Potassium,Blood,Chemistry,2823-3
50983,13,Sodium,Blood,Chemistry,2951-2
50902,14,Chloride,Blood,Chemistry,2075-0
50882,15,Bicarbonate,Blood,Chemistry,1963-8
50868,16,Anion Gap,Blood,Chemistry,1863-0
50931,17,Glucose,Blood,Chemistry,6777-7
50893,18,"Calcium, Total",Blood,Chemistry,2000-8
50960,19,Magnesium,Blood,Chemistry,2601-3
50970,20,Phosphate,Blood,Chemistry,2777-1
50934,21,H,Blood,Chemistry,
51678,22,L,Blood,Chemistry,
50947,23,I,Blood,Chemistry,
51237,24,INR(PT),Blood,Hematology,5895-7
51274,25,PT,Blood,Hematology,5902-2
50920,26,Estimated GFR (MDRD equation),Blood,Chemistry,
50861,27,Alanine Aminotransferase (ALT),Blood,Chemistry,1742-6
52172,28,RDW-SD,Blood,Hematology,
50878,29,Asparate Aminotransferase (AST),Blood,Chemistry,1920-8
51275,30,PTT,Blood,Hematology,5898-2
50885,31,"Bilirubin, Total",Blood,Chemistry,1975-2
51256,32,Neutrophils,Blood,Hematology,761-7
51244,33,Lymphocytes,Blood,Hematology,731-0
51254,34,Monocytes,Blood,Hematology,742-7
51200,35,Eosinophils,Blood,Hematology,711-2
51146,36,Basophils,Blood,Hematology,704-7
50863,37,Alkaline Phosphatase,Blood,Chemistry,6768-6
50862,38,Albumin,Blood,Chemistry,1751-7
51491,39,pH,Urine,Hematology,5803-2
51498,40,Specific Gravity,Urine,Hematology,5811-5
51506,41,Urine Appearance,Urine,Hematology,5767-9
51478,42,Glucose,Urine,Hematology,5792-7
51492,43,Protein,Urine,Hematology,5804-0
51464,44,Bilirubin,Urine,Hematology,5770-3
51484,45,Ketone,Urine,Hematology,5797-6
51514,46,Urobilinogen,Urine,Hematology,5818-0
51487,47,Nitrite,Urine,Hematology,5802-4
51087,48,Length of Urine Collection,Urine,Chemistry,
52033,49,Specimen Type,Blood,Blood Gas,
50820,50,pH,Blood,Blood Gas,
50821,51,pO2,Blood,Blood Gas,
50802,52,Base Excess,Blood,Blood Gas,
50804,53,Calculated Total CO2,Blood,Blood Gas,
50818,54,pCO2,Blood,Blood Gas,
52075,55,Absolute Neutrophil Count,Blood,Hematology,751-8
50813,56,Lactate,Blood,Blood Gas,
52073,57,Absolute Eosinophil Count,Blood,Hematology,711-2
