rep,method,test_mse
0,linear_regression,8.463523840116613
0,random_forest,9.769708488949595
0,xgboost,12.69227498850851
1,linear_regression,4.8260596751812885
1,random_forest,4.6218199175940295
1,xgboost,5.539396059142049
2,linear_regression,13.927223971367638
2,random_forest,13.348972460174295
2,xgboost,15.38532914849335
3,linear_regression,9.631504782097775
3,random_forest,8.286405007735658
3,xgboost,6.4097244454769955
4,linear_regression,11.820253868533477
4,random_forest,12.219431229584002
4,xgboost,14.16115181100613
