step,loss
9,8.216053009
15,8.044086456
16,8.056034088
82,7.43776226
117,7.133965492
131,7.216325283
150,7.141533852
165,7.06407547
278,6.842146873
312,6.758802891
333,6.763049603
389,6.543399334
448,6.537418365
497,6.440297604
579,6.391755581
593,6.246878147
624,6.168571949
779,5.927553654
794,5.912198544
861,5.852737427
889,5.924332619
905,5.863577843
907,5.933177948
922,6.034822464
923,5.84268856
984,5.74195385
1020,5.836647511
1033,5.643277168
1112,5.652929783
1116,5.734398842
1173,5.56506443
1225,5.829209328
1258,5.64963913
1380,5.626559258
1486,5.454339027
1582,5.644258976
1639,5.391190529
1681,5.330387115
1742,5.19720602
1858,5.304235458
1870,5.283885956
1967,5.430554867
1990,5.229172707
2067,5.231544971
2139,5.104132652
2187,5.336990356
2196,4.93106842
2338,5.030854225
2351,5.117247581
2381,4.915579796
2471,4.895768166
2487,4.833034515
2695,5.148374557
2721,5.187129021
2742,4.748259068
2773,4.86534214
2843,4.902684689
2907,4.78688097
2956,4.851788521
2993,4.637232304
3060,4.672339439
3098,4.735381126
3104,4.75118351
3165,4.345495224
3190,4.614861012
3274,4.479969978
3278,4.648859978
3290,4.508182526
3345,4.719887733
3358,4.601784706
3369,4.561215401
3525,4.699419022
3619,4.427174568
3699,4.491694927
3710,4.424800396
3767,4.152442932
3789,4.528171062
4053,4.247433662
4095,4.296468735
4120,4.089377403
4148,4.059092522
4179,3.802399874
4201,4.160217285
4292,4.020585537
4348,3.850615978
4433,3.862256527
4485,4.009711266
4524,4.06072998
4529,4.010049343
4757,3.823638439
4782,3.575428486
4789,3.591367245
4797,3.736724377
4856,3.816939354
4923,3.847972393
4942,3.550504923
4980,3.709935665
4998,3.667401075
5004,3.89522171
5014,3.664285183
5036,3.538125277
5045,3.481817245
5054,3.737435818
5171,3.586561203
5199,3.854365349
5238,3.817914248
5269,3.820069075
5301,3.749171257
5335,3.597449541
5467,3.541451454
5475,3.289557695
5513,3.416677952
5610,3.240830898
5616,3.666409016
5621,3.525147915
5646,3.900283813
5679,3.699367285
5691,3.573831797
5711,3.323255539
5866,3.363689899
5878,3.423218966
5884,3.356092453
5921,3.487223625
5968,3.259920597
5976,3.405854702
5987,3.339388371
6052,3.020810127
6106,3.172008753
6125,3.212422848
6126,3.065876007
6133,3.299788952
6166,2.995451927
6224,3.328666925
6262,3.125615597
6271,2.959574223
6401,2.906590939
6411,2.966366291
6443,2.909327984
6447,3.083559036
6451,2.984099865
6491,2.89384675
6512,3.031833649
6551,3.020815372
6565,3.458960772
6611,3.053457022
6633,2.83694315
6644,3.132252455
6666,2.928915977
6717,3.019351959
6727,3.030623913
6755,2.890433311
6843,2.985181332
6946,2.780912876
6987,3.078410149
6988,2.807314873
7008,2.932247162
7030,2.895101547
7044,3.167776585
7049,2.816988945
7058,3.067932606
7088,2.93934536
7103,3.019264698
7110,3.044842958
7224,2.843944788
7365,2.997456551
7383,2.960302353
7390,2.726488113
7391,2.950343847
7416,2.791199207
7479,2.866558313
7484,2.9339118
7485,2.771906376
7517,2.881292582
7538,2.768393755
7543,2.990889549
7618,3.144803047
7627,3.234285355
7695,2.738481045
7702,3.001706362
7820,2.807693481
7894,2.821071625
7918,2.490481853
7992,2.616972446
8008,2.970523834
8105,2.576010704
8133,2.72327137
8147,2.837273359
8197,2.753064632
8255,3.038940907
8261,2.879324436
8446,2.590901136
8461,2.731855154
8533,2.856006384
8546,2.769424438
8596,2.680735588
8631,2.625785828
8660,2.798459291
8669,2.469475508
8697,2.587234974
8716,2.625665188
8810,2.837181568
8842,2.957371712
8862,2.833423853
8880,2.98958683
8901,2.616703987
8964,2.701984406
8970,2.530336618
8994,2.592144012
9039,2.376673698
9075,2.580012798
9166,2.393226624
9174,2.634393215
9194,2.847576618
9196,2.772834778
9200,2.508299351
9226,2.754538536
9234,2.621833324
9240,2.675811768
9263,2.787990093
9264,2.697851419
9275,2.688390255
9282,2.697803974
9284,2.687855244
9303,2.498556614
9305,2.68837595
9319,2.652410507
9323,2.576645851
9354,2.496866226
9366,2.411242962
9398,2.650084972
9441,2.585080385
9453,2.802252293
9465,2.481870651
9536,2.533498526
9572,2.615550041
9580,2.694293022
9614,2.53230381
9656,2.398051023
9712,2.673378468
9719,2.504173756
9831,2.657479763
9837,2.679495335
9852,2.963430405
9870,2.437747478
9970,2.464809895
9979,2.763950348
9980,2.679901123
10026,2.851561308
10230,2.68422699
10242,2.536653519
10267,2.559192181
10288,2.402320862
10316,2.264827013
10327,2.551463366
10330,2.398627281
10374,2.50174427
10394,2.577141762
10429,2.723344088
10438,2.650959492
10442,2.604436874
10457,2.315527678
10514,2.332106829
10523,2.666758776
10554,2.843578815
10568,2.358223438
10590,2.349059582
10601,2.348345518
10641,2.311162472
10655,2.297814369
10661,2.376114368
10672,2.410340786
10683,2.396594048
10753,2.488537073
10774,2.292675972
10821,2.414417028
10828,2.175444126
10831,2.393238306
10879,2.481873035
10892,2.496630669
10945,2.171645641
10987,2.40233326
11025,2.701257944
11034,2.54484868
11142,2.373132229
11145,2.575848341
11180,2.523966551
11183,2.47795105
11228,2.515719652
11248,2.366841316
11302,2.415796518
11343,2.316158772
11423,2.473831177
11424,2.395325661
11455,2.765102863
11456,2.261134386
11499,2.518497467
11553,2.741177082
11568,2.194245815
11576,2.381137371
11606,2.490378141
11609,2.435460567
11670,2.448308468
11679,2.359879971
11723,2.352979422
11868,2.461014748
12003,2.3820858
12013,2.517004251
12102,2.322141647
12145,2.499310017
12167,2.360892773
12172,2.378235817
12332,2.551673889
12468,2.375174999
12504,2.226758003
12516,2.474505424
12519,2.334647655
12645,2.411151886
12684,2.299263716
12688,2.451087952
12775,2.546216011
12779,2.605455399
12794,2.289730072
12798,2.425949812
12803,2.318664551
12850,2.254199028
12921,2.289433956
12954,2.509789944
13025,2.409267902
13045,2.131743193
13066,2.338451385
13076,1.991846085
13105,2.160710096
13116,2.443500757
13208,2.346740961
13245,2.469199657
13298,2.430148602
13591,2.355740547
13673,2.265529156
13689,2.195654869
13716,2.147639751
13772,2.311392069
13777,2.585124016
13819,2.357375145
13913,2.200634718
13930,2.052152634
13939,2.308045149
13945,2.26733017
14021,2.108035564
14033,2.186407566
14046,2.386733532
14162,2.123641491
14173,2.068104982
14194,2.301909924
14197,2.369762897
14281,2.114321709
14308,2.497764587
14378,2.06794405
14440,2.360476971
14495,2.190492868
14545,2.089025497
14570,2.047904491
14576,2.198599815
14607,2.227403641
14614,2.311434269
14617,2.252225399
14634,2.146117687
14680,2.315824986
14695,2.261802435
14711,2.290882826
14761,2.101707935
14802,1.977875113
14846,2.182061911
14928,2.288803339
14954,2.326643467
15067,2.176552057
15104,2.074697018
15166,2.138930321
15177,2.020260572
15179,2.221371651
15225,2.259957075
15320,2.068279266
15327,2.130968571
15349,2.281045437
15366,2.234019995
15375,2.370325565
15436,2.273947239
15443,2.037759781
15445,2.167985678
15479,2.225062609
15554,2.109028816
15559,1.945583224
15616,2.129456758
15637,2.28544116
15790,2.035619259
15793,2.019749641
15843,2.242196321
15871,2.123207331
15931,2.450794697
15970,2.162822247
16021,2.295119762
